Name,AvatarID,DisplayName,Title,Teaching,SpecialAbilityName,SpecialAbilityDesc,MinConsciousnessLevel,Ray,Rarity,RegionName,QuestCount,TotalQuestXpReward
0,"(Value=""KrishnaMaitreya"")","""Krishna-Maitreya""","""Cosmic Integration""","""Krishna (Mahabharata) + Maitreya (Future Buddha) = Unity""","""Cosmic Vision""","""See all timelines simultaneously""","(Value=""OnTheStar"")","(Value=""AllRays"")","(Value=""Legendary"")","""EKAM Temple (Hidden Dimension)""",0,0
1,"(Value=""Rama"")","""Rama""","""Dharma King""","""""""Duty before desire, truth before comfort""""""","""Dharma Shield""","""Protects from adharmic attacks""","(Value=""Intuitional"")","(Value=""Blue"")","(Value=""Epic"")","""Ayodhya Palace (Blue Ray Region)""",5,2500
2,"(Value=""Sita"")","""Sita""","""Devotion Queen""","""""""True love endures all tests""""""","""Agni Pariksha""","""Burn away doubts and fears""","(Value=""Intuitional"")","(Value=""Pink"")","(Value=""Epic"")","""Ashoka Grove (Pink Ray Region)""",5,2500
3,"(Value=""Hanuman"")","""Hanuman""","""Divine Service""","""""""Service to the divine is the highest path""""""","""Bajrang Bali""","""Superhuman strength challenges""","(Value=""Spiritual"")","(Value=""Blue"")","(Value=""Epic"")","""Himalayas Cave (Ruby-Gold Region)""",5,2500
4,"(Value=""Maitreya"")","""Maitreya""","""Future Buddha""","""""""Technology + Spirituality = Golden Age""""""","""Blockchain Vision""","""See transaction patterns, karma flows""","(Value=""Divine"")","(Value=""AllRays"")","(Value=""Legendary"")","""ZION City Central (Hub World)""",5,2500
5,"(Value=""Saraswati"")","""Saraswati""","""Goddess of Knowledge""","""""""Knowledge without wisdom is blind""""""","""Vidya Shakti""","""Unlock hidden texts, decipher clues""","(Value=""Cosmic"")","(Value=""Yellow"")","(Value=""Epic"")","""Royal Teton Retreat (Yellow Ray)""",5,2500
6,"(Value=""IsisEnamataru"")","""Isis-Enamataru""","""Divine Feminine""","""""""Divine feminine birthed creation""""""","""Ankh of Life""","""Resurrection, healing powers""","(Value=""Spiritual"")","(Value=""Pink"")","(Value=""Epic"")","""Luxor Temple (Egypt)""",0,0
8,"(Value=""IssobelaGuardian"")","""Issobela Guardian""","""Protector""","""""""Protection without control""""""","""Shield of Light""","""Defensive barriers""","(Value=""Intuitional"")","(Value=""Blue"")","(Value=""Rare"")","""ZION City Walls""",0,0
9,"(Value=""Shanti"")","""Shanti""","""Peace Keeper""","""""""Non-violence is the highest strength""""""","""Peaceful Resolution""","""Convert enemies to allies""","(Value=""Cosmic"")","(Value=""Blue"")","(Value=""Rare"")","""Gandhi Ashram""",0,0
10,"(Value=""BronuChrist"")","""Bronu-Christ""","""Sacred Warrior""","""""""Fight for truth, not ego""""""","""Holy Strike""","""Righteous combat power""","(Value=""Spiritual"")","(Value=""Blue"")","(Value=""Epic"")","""Camelot Ruins""",0,0
